name,id,price,sizes,category,availability
Handball Spezial Schuh,IF6490,110,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers,"[{""size"": ""35 1/2"", ""availability"": 0}, {""size"": ""36"", ""availability"": 0}, {""size"": ""36 2/3"", ""availability"": 0}, {""size"": ""37 1/3"", ""availability"": 0}, {""size"": ""38"", ""availability"": 0}, {""size"": ""38 2/3"", ""availability"": 0}, {""size"": ""39 1/3"", ""availability"": 0}, {""size"": ""40"", ""availability"": 0}, {""size"": ""40 2/3"", ""availability"": 0}, {""size"": ""41 1/3"", ""availability"": 0}, {""size"": ""42"", ""availability"": 0}, {""size"": ""42 2/3"", ""availability"": 0}, {""size"": ""43 1/3"", ""availability"": 0}, {""size"": ""44"", ""availability"": 14}, {""size"": ""44 2/3"", ""availability"": 15}, {""size"": ""45 1/3"", ""availability"": 15}, {""size"": ""46"", ""availability"": 15}, {""size"": ""46 2/3"", ""availability"": 15}, {""size"": ""47 1/3"", ""availability"": 15}, {""size"": ""48"", ""availability"": 15}, {""size"": ""48 2/3"", ""availability"": 15}, {""size"": ""49 1/3"", ""availability"": 0}]"
Samba OG Schuh,B75806,120,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3', '50', '50 2/3', '51 1/3', '52 2/3', '53 1/3', '54 2/3']",manner-sneakers,"[{""size"": ""35 1/2"", ""availability"": 15}, {""size"": ""36"", ""availability"": 15}, {""size"": ""36 2/3"", ""availability"": 15}, {""size"": ""37 1/3"", ""availability"": 15}, {""size"": ""38"", ""availability"": 15}, {""size"": ""38 2/3"", ""availability"": 15}, {""size"": ""39 1/3"", ""availability"": 15}, {""size"": ""40"", ""availability"": 15}, {""size"": ""40 2/3"", ""availability"": 15}, {""size"": ""41 1/3"", ""availability"": 15}, {""size"": ""42"", ""availability"": 15}, {""size"": ""42 2/3"", ""availability"": 15}, {""size"": ""43 1/3"", ""availability"": 15}, {""size"": ""44"", ""availability"": 15}, {""size"": ""44 2/3"", ""availability"": 15}, {""size"": ""45 1/3"", ""availability"": 15}, {""size"": ""46"", ""availability"": 15}, {""size"": ""46 2/3"", ""availability"": 15}, {""size"": ""47 1/3"", ""availability"": 15}, {""size"": ""48"", ""availability"": 15}, {""size"": ""48 2/3"", ""availability"": 4}, {""size"": ""49 1/3"", ""availability"": 15}, {""size"": ""50"", ""availability"": 0}, {""size"": ""50 2/3"", ""availability"": 0}, {""size"": ""51 1/3"", ""availability"": 0}, {""size"": ""52 2/3"", ""availability"": 0}, {""size"": ""53 1/3"", ""availability"": 0}, {""size"": ""54 2/3"", ""availability"": 0}]"
Handball Spezial Schuh,IF7087,110,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers,"[{""size"": ""35 1/2"", ""availability"": 15}, {""size"": ""36"", ""availability"": 15}, {""size"": ""36 2/3"", ""availability"": 15}, {""size"": ""37 1/3"", ""availability"": 15}, {""size"": ""38"", ""availability"": 15}, {""size"": ""38 2/3"", ""availability"": 15}, {""size"": ""39 1/3"", ""availability"": 15}, {""size"": ""40"", ""availability"": 15}, {""size"": ""40 2/3"", ""availability"": 15}, {""size"": ""41 1/3"", ""availability"": 15}, {""size"": ""42"", ""availability"": 15}, {""size"": ""42 2/3"", ""availability"": 15}, {""size"": ""43 1/3"", ""availability"": 15}, {""size"": ""44"", ""availability"": 15}, {""size"": ""44 2/3"", ""availability"": 15}, {""size"": ""45 1/3"", ""availability"": 15}, {""size"": ""46"", ""availability"": 15}, {""size"": ""46 2/3"", ""availability"": 15}, {""size"": ""47 1/3"", ""availability"": 15}, {""size"": ""48"", ""availability"": 15}, {""size"": ""48 2/3"", ""availability"": 15}, {""size"": ""49 1/3"", ""availability"": 15}]"
Campus 00s Schuh,HQ8707,120,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3', '50', '50 2/3', '51 1/3', '52 2/3', '53 1/3', '54 2/3']",manner-sneakers,"[{""size"": ""35 1/2"", ""availability"": 15}, {""size"": ""36"", ""availability"": 15}, {""size"": ""36 2/3"", ""availability"": 15}, {""size"": ""37 1/3"", ""availability"": 15}, {""size"": ""38"", ""availability"": 15}, {""size"": ""38 2/3"", ""availability"": 15}, {""size"": ""39 1/3"", ""availability"": 15}, {""size"": ""40"", ""availability"": 15}, {""size"": ""40 2/3"", ""availability"": 15}, {""size"": ""41 1/3"", ""availability"": 15}, {""size"": ""42"", ""availability"": 15}, {""size"": ""42 2/3"", ""availability"": 15}, {""size"": ""43 1/3"", ""availability"": 15}, {""size"": ""44"", ""availability"": 15}, {""size"": ""44 2/3"", ""availability"": 15}, {""size"": ""45 1/3"", ""availability"": 15}, {""size"": ""46"", ""availability"": 15}, {""size"": ""46 2/3"", ""availability"": 15}, {""size"": ""47 1/3"", ""availability"": 15}, {""size"": ""48"", ""availability"": 15}, {""size"": ""48 2/3"", ""availability"": 15}, {""size"": ""49 1/3"", ""availability"": 15}, {""size"": ""50"", ""availability"": 0}, {""size"": ""50 2/3"", ""availability"": 0}, {""size"": ""51 1/3"", ""availability"": 0}, {""size"": ""52 2/3"", ""availability"": 0}, {""size"": ""53 1/3"", ""availability"": 0}, {""size"": ""54 2/3"", ""availability"": 0}]"
Adizero Adios 9 Laufschuh,IH5751,140,"['40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '49 1/3', '50']",manner-sneakers,"[{""size"": ""40"", ""availability"": 15}, {""size"": ""40 2/3"", ""availability"": 15}, {""size"": ""41 1/3"", ""availability"": 15}, {""size"": ""42"", ""availability"": 15}, {""size"": ""42 2/3"", ""availability"": 15}, {""size"": ""43 1/3"", ""availability"": 15}, {""size"": ""44"", ""availability"": 15}, {""size"": ""44 2/3"", ""availability"": 15}, {""size"": ""45 1/3"", ""availability"": 15}, {""size"": ""46"", ""availability"": 15}, {""size"": ""46 2/3"", ""availability"": 12}, {""size"": ""47 1/3"", ""availability"": 15}, {""size"": ""48"", ""availability"": 3}, {""size"": ""49 1/3"", ""availability"": 2}, {""size"": ""50"", ""availability"": 0}]"
Adizero Boston 12 Laufschuh,JI4476,160,"['36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3', '50 2/3']",manner-sneakers,"[{""size"": ""36"", ""availability"": 0}, {""size"": ""36 2/3"", ""availability"": 1}, {""size"": ""37 1/3"", ""availability"": 0}, {""size"": ""38"", ""availability"": 0}, {""size"": ""38 2/3"", ""availability"": 0}, {""size"": ""39 1/3"", ""availability"": 15}, {""size"": ""40"", ""availability"": 15}, {""size"": ""40 2/3"", ""availability"": 15}, {""size"": ""41 1/3"", ""availability"": 15}, {""size"": ""42"", ""availability"": 15}, {""size"": ""42 2/3"", ""availability"": 15}, {""size"": ""43 1/3"", ""availability"": 15}, {""size"": ""44"", ""availability"": 15}, {""size"": ""44 2/3"", ""availability"": 12}, {""size"": ""45 1/3"", ""availability"": 15}, {""size"": ""46"", ""availability"": 15}, {""size"": ""46 2/3"", ""availability"": 13}, {""size"": ""47 1/3"", ""availability"": 15}, {""size"": ""48"", ""availability"": 0}, {""size"": ""48 2/3"", ""availability"": 0}, {""size"": ""49 1/3"", ""availability"": 0}, {""size"": ""50 2/3"", ""availability"": 0}]"
Adizero Prime X 2.0 STRUNG Laufschuh,IH5685,300,"['36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '49 1/3', '50 2/3']",manner-sneakers,"[{""size"": ""36"", ""availability"": 2}, {""size"": ""36 2/3"", ""availability"": 2}, {""size"": ""37 1/3"", ""availability"": 7}, {""size"": ""38"", ""availability"": 12}, {""size"": ""38 2/3"", ""availability"": 15}, {""size"": ""39 1/3"", ""availability"": 15}, {""size"": ""40"", ""availability"": 15}, {""size"": ""40 2/3"", ""availability"": 15}, {""size"": ""41 1/3"", ""availability"": 15}, {""size"": ""42"", ""availability"": 15}, {""size"": ""42 2/3"", ""availability"": 15}, {""size"": ""43 1/3"", ""availability"": 15}, {""size"": ""44"", ""availability"": 15}, {""size"": ""44 2/3"", ""availability"": 15}, {""size"": ""45 1/3"", ""availability"": 15}, {""size"": ""46"", ""availability"": 15}, {""size"": ""46 2/3"", ""availability"": 11}, {""size"": ""47 1/3"", ""availability"": 9}, {""size"": ""48"", ""availability"": 9}, {""size"": ""49 1/3"", ""availability"": 5}, {""size"": ""50 2/3"", ""availability"": 0}]"
Adizero Boston 12 Laufschuh,JI4477,160,"['36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3', '50 2/3']",manner-sneakers,"[{""size"": ""36"", ""availability"": 0}, {""size"": ""36 2/3"", ""availability"": 0}, {""size"": ""37 1/3"", ""availability"": 1}, {""size"": ""38"", ""availability"": 0}, {""size"": ""38 2/3"", ""availability"": 2}, {""size"": ""39 1/3"", ""availability"": 3}, {""size"": ""40"", ""availability"": 14}, {""size"": ""40 2/3"", ""availability"": 12}, {""size"": ""41 1/3"", ""availability"": 15}, {""size"": ""42"", ""availability"": 15}, {""size"": ""42 2/3"", ""availability"": 15}, {""size"": ""43 1/3"", ""availability"": 15}, {""size"": ""44"", ""availability"": 15}, {""size"": ""44 2/3"", ""availability"": 15}, {""size"": ""45 1/3"", ""availability"": 15}, {""size"": ""46"", ""availability"": 15}, {""size"": ""46 2/3"", ""availability"": 15}, {""size"": ""47 1/3"", ""availability"": 8}, {""size"": ""48"", ""availability"": 6}, {""size"": ""48 2/3"", ""availability"": 0}, {""size"": ""49 1/3"", ""availability"": 1}, {""size"": ""50 2/3"", ""availability"": 1}]"
Campus 00s Schuh,HQ8708,120,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3', '50', '50 2/3', '51 1/3', '52 2/3', '53 1/3', '54 2/3']",manner-sneakers,"[{""size"": ""35 1/2"", ""availability"": 15}, {""size"": ""36"", ""availability"": 15}, {""size"": ""36 2/3"", ""availability"": 15}, {""size"": ""37 1/3"", ""availability"": 15}, {""size"": ""38"", ""availability"": 15}, {""size"": ""38 2/3"", ""availability"": 15}, {""size"": ""39 1/3"", ""availability"": 15}, {""size"": ""40"", ""availability"": 15}, {""size"": ""40 2/3"", ""availability"": 15}, {""size"": ""41 1/3"", ""availability"": 15}, {""size"": ""42"", ""availability"": 15}, {""size"": ""42 2/3"", ""availability"": 15}, {""size"": ""43 1/3"", ""availability"": 15}, {""size"": ""44"", ""availability"": 15}, {""size"": ""44 2/3"", ""availability"": 15}, {""size"": ""45 1/3"", ""availability"": 15}, {""size"": ""46"", ""availability"": 15}, {""size"": ""46 2/3"", ""availability"": 15}, {""size"": ""47 1/3"", ""availability"": 15}, {""size"": ""48"", ""availability"": 15}, {""size"": ""48 2/3"", ""availability"": 15}, {""size"": ""49 1/3"", ""availability"": 15}, {""size"": ""50"", ""availability"": 0}, {""size"": ""50 2/3"", ""availability"": 0}, {""size"": ""51 1/3"", ""availability"": 0}, {""size"": ""52 2/3"", ""availability"": 0}, {""size"": ""53 1/3"", ""availability"": 0}, {""size"": ""54 2/3"", ""availability"": 0}]"
Handball Spezial Schuh,IF6562,110,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers,"[{""size"": ""35 1/2"", ""availability"": 15}, {""size"": ""36"", ""availability"": 15}, {""size"": ""36 2/3"", ""availability"": 15}, {""size"": ""37 1/3"", ""availability"": 15}, {""size"": ""38"", ""availability"": 15}, {""size"": ""38 2/3"", ""availability"": 15}, {""size"": ""39 1/3"", ""availability"": 15}, {""size"": ""40"", ""availability"": 15}, {""size"": ""40 2/3"", ""availability"": 15}, {""size"": ""41 1/3"", ""availability"": 15}, {""size"": ""42"", ""availability"": 2}, {""size"": ""42 2/3"", ""availability"": 1}, {""size"": ""43 1/3"", ""availability"": 1}, {""size"": ""44"", ""availability"": 1}, {""size"": ""44 2/3"", ""availability"": 0}, {""size"": ""45 1/3"", ""availability"": 0}, {""size"": ""46"", ""availability"": 0}, {""size"": ""46 2/3"", ""availability"": 0}, {""size"": ""47 1/3"", ""availability"": 0}, {""size"": ""48"", ""availability"": 0}, {""size"": ""48 2/3"", ""availability"": 0}, {""size"": ""49 1/3"", ""availability"": 0}]"
